# WELL TRACE FROM PETREL 
# WELL NAME:              JY68-4HF
# DEFINITIVE SURVEY:      JY68-4HF
# WELL HEAD X-COORDINATE: 751465.40000000 (m)
# WELL HEAD Y-COORDINATE: 3296459.90000000 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 639.17000000 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# AZIMUTH REFERENCE UNDEFINED
# DX DY ARE UNDEFINED IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY          AZIM         INCL         DLS
 4005.9300000 752026.12963 3294512.4764 -1793.814020 2432.9840199 560.72962996 -1947.423643 180.07000000 91.000000000 0.3125000000
 4010.6600000 752026.12179 3294507.7471 -1793.731470 2432.9014700 560.72178853 -1952.152916 180.12000000 91.000000381 0.3170764361
 4015.3900000 752026.10982 3294503.0178 -1793.648920 2432.8189201 560.70982002 -1956.882181 180.17000000 91.000000000 0.3170764361
 4020.1750000 752026.09562 3294498.2332 -1793.588374 2432.7583743 560.69562385 -1961.666758 180.17000000 90.450000000 3.4482758621
 4024.9600000 752026.08143 3294493.4483 -1793.573759 2432.7437595 560.68142661 -1966.451696 180.17000000 89.900000000 3.4482758621
 4029.8050000 752026.06917 3294488.6033 -1793.584330 2432.7543296 560.66916528 -1971.296669 180.12000011 89.849999943 0.4378362382
 4034.6500000 752026.06113 3294483.7584 -1793.599128 2432.7691278 560.66113199 -1976.141639 180.07000000 89.800000000 0.4378362382
 4039.4800000 752026.05102 3294478.9284 -1793.613880 2432.7838802 560.65101611 -1980.971606 180.17000023 89.849999772 0.6944290746
 4044.3100000 752026.03247 3294474.0984 -1793.624418 2432.7944176 560.63247032 -1985.801558 180.27000000 89.900000000 0.6944290746
 4049.1400000 752026.00971 3294469.2685 -1793.630740 2432.8007401 560.60970958 -1990.631500 180.27000000 89.950000000 0.3105590062
